DISTRICT NUMBER,DISTRICT NAME,YEAR,ALL FUNDS-LOCAL TAX REVENUE FROM M&O,ALL FUNDS-STATE REVENUE,ALL FUNDS-OTHER LOCAL & INTERMEDIATE REVENUE,ALL FUNDS-LOCAL PROPERTY TAXES FROM I&S,ALL FUNDS-STATE DEBT FUNDS,ALL FUNDS-OTHER RECEIPTS,ALL FUNDS-DEBT SERVICE FINANCING RELATED REVENUE,Revenue Sum,Revenue Sum w/ Debt,REPORT_CHARTER_STATUS,2018-2019 ADA,REGION,COUNTY,Asian,Black or African American,Hispanic/Latino,Two or more races,White,American Indian or Alaska Nat,Native Hawaiian/Other Pacific,Total Ethnicity,District 2019 Overall Rating,District 2019 Overall Scaled Score,Student Achievement Rating,Student Achievement Scaled Score,School Progress Resolved Rating,School Progress Resolved Scaled Score,Closing the Gaps Rating,Closing the Gaps Scaled Score,Rated Under AEA Procedures,Charter Operator,New Charter Operator,Residential Treatment Facility,Single District Campus - PEIMS,# Enrolled in Grades 3-12,% Enrolled in Grades 3-12,All Students Count,# Economically Disadvantaged,% Economically Disadvantaged,# LEP Students,% LEP Students,# Special Education,% Special Education,# Enrolled in Early College High School,% Enrolled in Early College High School,# Pathways in Technology ECHS,% Pathways in Technology ECHS,# Enrolled in a T-Stem Academy,% Enrolled in a T-Stem Academy,Total AEA Bonus Points Received,AEA Bonus Graduation or Dropout Rate Used,AEA Bonus GRAD/CCMR Points Received,AEA Bonus STAAR Percentage,AEA Bonus STAAR Points Received,Any Change due to Appeal,Number of Consecutive Years Improvement Required (IR),County Name,County #,Postsecondary Readiness Distinction,"Final Rating Update Status: 1 = Appeal granted, 2 = Rating update to 'Q' - Not Rated due to Data Integrity issue",STAAR Component Raw Score,STAAR Component Scaled Score,CCMR Component Raw Score,CCMR Component Scaled Score,Graduation Rate Component Raw Score,Graduation Rate Component Scaled Score,Academic Growth Raw Score
003903,LUFKIN ISD,2019,27049610,37338100,2928068,6434561,194088,1054467,1075000,74998894,76073894,Traditional ISD/CSD,"7,117.338",7,ANGELINA COUNTY,90,2273,3256,211,2012,14,5,7861,B,89,B,85,A,92,B,83,N,N,N,N,N,5565,71.099999999999994,7827,6041,77.2,1456,18.6,848,10.8,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANGELINA,'003,0,NA,46,78,82,96,93.8,75,70
003904,HUNTINGTON ISD,2019,3004316,10608218,779261,589891,745872,21857,0,15749415,15749415,Traditional ISD/CSD,"1,546.477",7,ANGELINA COUNTY,7,45,114,49,1437,8,0,1660,B,89,B,87,A,90,B,87,N,N,N,N,N,1290,77.8,1659,929,56,18,1.1,184,11.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANGELINA,'003,0,NA,49,81,69,92,97.4,90,72
003905,DIBOLL ISD,2019,3297947,12929743,897721,426382,470486,110,6000838,18022389,24023227,Traditional ISD/CSD,"1,676.143",7,ANGELINA COUNTY,6,238,977,35,622,2,0,1880,B,87,B,87,A,91,C,78,N,N,N,N,N,1323,70.7,1870,1475,78.9,302,16.1,192,10.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANGELINA,'003,0,NA,46,78,66,92,98.5,95,69
003906,ZAVALLA ISD,2019,1214341,2520564,109141,372393,68220,3574,0,4288233,4288233,Traditional ISD/CSD,319.598,7,ANGELINA COUNTY,0,2,12,21,325,0,0,360,B,85,B,86,A,90,C,73,N,N,N,N,N,270,75,360,243,67.5,0,0,47,13.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANGELINA,'003,0,NA,42,73,72,93,100,100,65
003907,CENTRAL ISD,2019,3275813,10190300,545670,446958,327817,73257,0,14859815,14859815,Traditional ISD/CSD,"1,354.403",7,ANGELINA COUNTY,1,65,308,44,1045,2,0,1465,B,89,B,88,B,89,B,88,N,N,N,N,N,1048,71.5,1465,865,59,52,3.5,201,13.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,ANGELINA,'003,0,NA,51,82,60,90,98.2,95,73
004901,ARANSAS COUNTY ISD,2019,19734728,7973466,2409917,2813264,45609,1105180,0,34082164,34082164,Traditional ISD/CSD,"2,641.349",2,ARANSAS COUNTY,62,27,1205,85,1437,9,4,2829,B,84,B,81,B,86,C,79,N,N,N,N,N,2155,76.3,2826,1899,67.2,142,5,286,10.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,ARANSAS,'004,0,NA,45,76,56,85,95.1,85,68
005901,ARCHER CITY ISD,2019,2198839,3241635,399941,939287,176733,12923,0,6969358,6969358,Traditional ISD/CSD,451.994,9,ARCHER COUNTY,3,4,69,14,411,4,0,505,A,94,A,95,A,94,A,93,N,N,N,N,N,371,73.5,505,270,53.5,8,1.6,68,13.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,ARCHER,'005,1,NA,62,91,88,97,100,100,74
005902,HOLLIDAY ISD,2019,3530829,5952639,360470,921027,213243,768,0,10978976,10978976,Traditional ISD/CSD,"1,009.720",9,ARCHER COUNTY,1,5,89,26,920,6,1,1048,A,92,A,94,B,87,B,87,N,N,N,N,N,801,76.599999999999994,1046,219,20.9,3,0.3,95,9.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,ARCHER,'005,0,NA,60,90,75,94,100,100,74
005904,WINDTHORST ISD,2019,1059737,3107735,212179,123057,62923,27531,0,4593162,4593162,Traditional ISD/CSD,378.103,9,ARCHER COUNTY,0,0,111,1,288,3,0,403,A,95,A,94,A,91,A,96,N,N,N,N,N,309,76.7,403,161,40,27,6.7,34,8.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,ARCHER,'005,0,NA,62,91,71,93,100,100,73
006902,CLAUDE ISD,2019,1753329,2138272,370061,153397,2636,8295,0,4425990,4425990,Traditional ISD/CSD,328.836,16,ARMSTRONG COUNTY,0,3,45,6,301,4,0,359,A,91,A,93,A,91,B,87,N,N,N,N,N,251,70.099999999999994,358,146,40.8,4,1.1,38,10.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,ARMSTRONG,'006,0,NA,56,87,79,95,100,100,79
007901,CHARLOTTE ISD,2019,3501431,2257367,218777,459245,4157,287023,0,6728000,6728000,Traditional ISD/CSD,429.229,20,ATASCOSA COUNTY,1,0,413,0,56,1,0,471,B,87,B,86,B,89,B,82,N,N,N,N,N,341,72.7,469,347,74,25,5.3,62,13.2,0,0,0,0,0,0,.,.,.,.,.,NA,.,ATASCOSA,'007,0,NA,43,74,62,91,100,100,61
007902,JOURDANTON ISD,2019,10116617,4246514,839330,2793902,0,51000,0,18047363,18047363,Traditional ISD/CSD,"1,499.129",20,ATASCOSA COUNTY,5,15,976,17,590,3,1,1607,B,86,B,87,B,89,B,80,N,N,N,N,N,1146,71.400000000000006,1606,867,54,38,2.4,162,10.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,ATASCOSA,'007,0,NA,48,80,69,92,96.4,90,70
007904,LYTLE ISD,2019,3795142,11343652,531886,671414,667628,78000,0,17087722,17087722,Traditional ISD/CSD,"1,579.660",20,ATASCOSA COUNTY,2,11,1384,11,311,4,3,1726,C,78,C,75,B,81,C,70,N,N,N,N,N,1240,71.900000000000006,1724,1278,74.1,209,12.1,136,7.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,ATASCOSA,'007,0,NA,36,62,56,85,94.2,80,64
007905,PLEASANTON ISD,2019,20844683,9450364,2354932,5408942,103031,0,0,38161952,38161952,Traditional ISD/CSD,"3,251.460",20,ATASCOSA COUNTY,16,15,2478,40,1005,8,2,3564,B,85,B,84,B,89,C,75,N,N,N,N,N,2637,74.2,3555,2206,62.1,129,3.6,355,10,0,0,0,0,0,0,.,.,.,.,.,NA,.,ATASCOSA,'007,0,NA,40,70,70,93,99.2,95,62
007906,POTEET ISD,2019,3842797,12352382,835909,1001518,1080441,0,0,19113047,19113047,Traditional ISD/CSD,"1,538.212",20,ATASCOSA COUNTY,3,5,1470,8,216,1,0,1703,B,86,B,81,A,90,C,77,N,N,N,N,N,1255,74,1695,1346,79.4,96,5.7,148,8.7,32,1.9,0,0,0,0,.,.,.,.,.,NA,.,ATASCOSA,'007,0,NA,39,69,66,92,95.5,85,64
008901,BELLVILLE ISD,2019,14490377,6531366,1488325,1863675,43482,229895,0,24647120,24647120,Traditional ISD/CSD,"2,105.322",6,AUSTIN COUNTY,13,207,670,41,1302,3,2,2238,B,85,B,87,B,83,B,81,N,N,N,N,N,1748,78.7,2221,1100,49.5,187,8.4,216,9.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,AUSTIN,'008,0,NA,50,82,58,88,99.4,95,70
008902,SEALY ISD,2019,14940501,8789374,1570876,3782431,54508,285332,0,29423022,29423022,Traditional ISD/CSD,"2,583.568",6,AUSTIN COUNTY,26,231,1406,75,1061,4,0,2803,C,78,B,82,B,81,C,70,N,N,N,N,N,2063,75,2751,1636,59.5,406,14.8,268,9.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,AUSTIN,'008,0,NA,46,78,52,79,98.1,95,69
008903,BRAZOS ISD,2019,3155691,5374567,479089,1222650,33227,0,0,10265224,10265224,Traditional ISD/CSD,782.569,6,AUSTIN COUNTY,3,76,435,19,294,0,0,827,B,89,B,89,B,89,B,89,N,N,N,N,N,663,80.400000000000006,825,529,64.1,128,15.5,92,11.2,0,0,0,0,0,0,.,.,.,.,.,NA,.,AUSTIN,'008,0,NA,51,82,65,91,100,100,72
009901,MULESHOE ISD,2019,3370486,10854826,594383,510406,551894,0,450000,15881995,16331995,Traditional ISD/CSD,"1,306.425",17,BAILEY COUNTY,6,8,1202,4,196,1,0,1417,B,84,B,85,B,89,C,73,N,N,N,N,N,1022,72.3,1414,1217,86.1,330,23.3,191,13.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,BAILEY,'009,0,NA,37,65,93,98,100,100,64
010901,MEDINA ISD,2019,2564243,1001160,161292,463296,0,194156,0,4384147,4384147,Traditional ISD/CSD,275.071,20,BANDERA COUNTY,0,4,87,9,206,0,0,306,B,81,B,82,B,80,C,79,N,N,NA,N,Y,.,.,306,189,61.8,5,1.6,37,12.1,0,0,.,.,.,.,.,.,.,.,.,NA,.,BANDERA,'010,NA,NA,46,74,50,82,100,100,66
010902,BANDERA ISD,2019,15058886,1786461,2420071,2066047,58008,1300910,0,22690383,22690383,Traditional ISD/CSD,"2,026.280",20,BANDERA COUNTY,8,8,755,55,1402,4,2,2234,B,84,B,84,B,87,C,78,N,N,N,N,N,1647,73.900000000000006,2230,1192,53.5,97,4.3,279,12.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,BANDERA,'010,0,NA,44,75,67,92,95,85,63
011901,BASTROP ISD,2019,40997146,48228420,2808069,15954951,664909,540000,0,109193495,109193495,Traditional ISD/CSD,"10,183.883",13,BASTROP COUNTY,46,411,7465,323,2806,20,10,11081,B,80,B,81,B,84,C,72,N,N,N,N,N,8460,76.599999999999994,11043,7785,70.5,3075,27.8,1199,10.9,206,1.9,0,0,0,0,.,.,.,.,.,NA,.,BASTROP,'011,0,NA,39,69,58,88,96.6,90,62
011902,ELGIN ISD,2019,15626669,24204935,2707306,5001657,1079655,3051141,0,51671363,51671363,Traditional ISD/CSD,"4,062.394",13,BASTROP COUNTY,17,494,3043,102,793,5,3,4457,B,82,C,79,B,87,C,71,N,N,N,N,N,3301,74.400000000000006,4438,3432,77.3,1381,31.1,456,10.3,222,5,12,0.3,0,0,.,.,.,.,.,NA,.,BASTROP,'011,0,NA,34,59,65,91,98.4,95,62
011904,SMITHVILLE ISD,2019,9735715,7132875,833492,2182351,29254,0,12203,19913687,19925890,Traditional ISD/CSD,"1,670.996",13,BASTROP COUNTY,14,129,574,76,1005,4,0,1802,B,80,B,81,B,81,C,77,N,N,N,N,N,1358,75.400000000000006,1800,1060,58.9,128,7.1,192,10.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,BASTROP,'011,0,NA,46,78,52,79,97.8,90,66
011905,MCDADE ISD,2019,1100452,2624609,115845,63928,33073,44597,0,3982504,3982504,Traditional ISD/CSD,345.015,13,BASTROP COUNTY,0,5,180,3,194,0,0,382,B,82,B,81,B,85,C,76,N,N,N,N,N,249,65.2,382,233,61,60,15.7,36,9.4,0,0,0,0,0,0,.,.,.,.,.,NA,.,BASTROP,'011,NA,NA,49,81,.,.,100,100,68
012901,SEYMOUR ISD,2019,1940359,4154296,580438,256323,103859,58210,0,7093485,7093485,Traditional ISD/CSD,547.721,9,BAYLOR COUNTY,2,8,113,28,431,0,0,582,A,93,A,92,A,91,A,95,N,N,N,N,N,417,71.599999999999994,582,338,58.1,1,0.2,74,12.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,BAYLOR,'012,1,NA,58,88,67,92,100,100,73
013801,ST MARY'S ACADEMY CHARTER SCHOOL,2019,0,4159657,109321,0,0,0,0,4268978,4268978,Open Enrollment Charter,407.242,2,BEE COUNTY,10,7,341,9,63,0,0,430,B,81,C,77,B,85,C,73,N,Y,NA,N,Y,.,.,430,355,82.6,7,1.6,35,8.1,0,0,.,.,.,.,.,.,.,.,.,NA,.,BEE,'013,NA,NA,49,77,.,.,.,.,66
013901,BEEVILLE ISD,2019,8942516,18641564,1576623,309811,465408,0,850795,29935922,30786717,Traditional ISD/CSD,"2,967.774",2,BEE COUNTY,9,91,2781,31,415,0,3,3330,C,77,C,74,C,79,C,73,N,N,N,N,N,2514,76.099999999999994,3305,2793,84.5,79,2.4,338,10.2,0,0,0,0,0,0,.,.,.,.,.,NA,.,BEE,'013,0,NA,39,69,47,76,94.2,80,65
013902,PAWNEE ISD,2019,2706888,237158,1246947,771699,3641,58110,0,5024443,5024443,Traditional ISD/CSD,248.296,2,BEE COUNTY,2,4,248,3,61,0,0,318,B,84,C,78,B,86,C,78,N,N,NA,N,Y,.,.,318,270,84.9,6,1.9,15,4.7,0,0,.,.,.,.,.,.,.,.,.,NA,.,BEE,'013,NA,NA,51,78,.,.,.,.,68
013903,PETTUS ISD,2019,3966839,1167312,190830,1762325,2874,0,0,7090180,7090180,Traditional ISD/CSD,384.686,2,BEE COUNTY,0,3,282,3,130,2,0,420,D,69,C,70,C,79,F,47,N,N,N,N,N,317,76,417,312,74.8,2,0.5,44,10.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,BEE,'013,0,NA,41,71,46,75,87.1,60,69
013905,SKIDMORE-TYNAN ISD,2019,1749758,6868406,234590,516537,363159,582936,0,10315386,10315386,Traditional ISD/CSD,780.783,2,BEE COUNTY,5,10,574,8,231,4,2,834,A,92,A,91,A,92,A,93,N,N,N,N,N,658,79.7,826,533,64.5,14,1.7,88,10.7,0,0,0,0,0,0,.,.,.,.,.,NA,.,BEE,'013,0,NA,51,82,79,95,100,100,75
014801,RICHARD MILBURN ALTER HIGH SCHOOL,2019,0,17016159,138961,0,0,0,0,17155120,17155120,Open Enrollment Charter,"1,568.856",20,BELL COUNTY,7,270,1226,26,415,5,3,1952,C,72,C,74,F,48,D,62,Y,Y,N,N,N,1949,100,1949,1331,68.3,110,5.6,204,10.5,0,0,0,0,0,0,2,61,2,31,0,NA,.,BELL,'014,NA,NA,17,62,28,91,51.6,65,25
014803,PRIORITY CHARTER SCHOOLS,2019,0,7267257,270928,0,0,0,0,7538185,7538185,Open Enrollment Charter,693.799,12,BELL COUNTY,27,139,210,45,359,4,5,789,B,86,B,87,B,89,B,80,N,Y,N,N,N,487,61.7,789,455,57.7,40,5.1,97,12.3,0,0,0,0,0,0,.,.,.,.,.,NA,.,BELL,'014,0,NA,41,71,82,96,100,100,72
014804,ORENDA CHARTER SCHOOL,2019,0,15224404,776772,0,0,0,0,16001176,16001176,Open Enrollment Charter,"1,657.922",12,BELL COUNTY,61,65,371,85,1133,3,2,1720,B,89,A,90,B,82,B,87,N,Y,N,N,N,1299,75.599999999999994,1719,264,15.4,22,1.3,165,9.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,BELL,'014,0,NA,64,91,60,90,96.1,90,71
014901,ACADEMY ISD,2019,4391449,8652147,927908,1260447,490193,1005000,0,16727144,16727144,Traditional ISD/CSD,"1,559.881",12,BELL COUNTY,15,102,354,58,1103,13,7,1652,B,85,B,85,B,80,B,84,N,N,N,N,N,1225,74.599999999999994,1641,731,44.5,80,4.9,149,9.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,BELL,'014,0,NA,54,85,53,80,99,95,65
014902,BARTLETT ISD,2019,1201668,2261206,104061,135281,24867,3500,0,3730583,3730583,Traditional ISD/CSD,323.515,13,BELL COUNTY,0,40,225,9,68,1,0,343,C,79,B,81,B,83,C,71,N,N,NA,N,Y,.,.,342,287,83.9,55,16.1,30,8.8,0,0,.,.,.,.,.,.,.,.,.,NA,.,BELL,'014,NA,NA,36,62,65,91,100,100,58
014903,BELTON ISD,2019,36103573,60954331,5619758,13730699,3131271,323140,0,119862772,119862772,Traditional ISD/CSD,"11,062.872",12,BELL COUNTY,233,792,3993,525,6239,56,47,11885,B,88,B,89,B,85,B,86,N,N,N,N,N,8904,75.099999999999994,11861,5402,45.5,759,6.4,1497,12.6,0,0,0,0,0,0,.,.,.,.,.,NA,.,BELL,'014,0,NA,53,84,61,90,98.9,95,66
014905,HOLLAND ISD,2019,1275643,4803686,1597028,433144,385078,0,0,8494579,8494579,Traditional ISD/CSD,608.505,12,BELL COUNTY,0,20,183,18,433,2,0,656,A,94,A,94,A,93,A,93,N,N,N,N,N,489,74.5,656,321,48.9,19,2.9,56,8.5,0,0,0,0,0,0,.,.,.,.,.,NA,.,BELL,'014,1,NA,59,89,82,96,100,100,73
014906,KILLEEN ISD,2019,76977439,251780145,9635159,16339647,3044948,357282,127024841,358134620,485159461,Traditional ISD/CSD,"40,540.108",12,BELL COUNTY,1071,15742,13739,3441,9784,270,927,44974,B,86,B,81,B,89,B,80,N,N,N,N,N,30717,68.400000000000006,44919,27668,61.6,4715,10.5,5617,12.5,1023,2.3,0,0,0,0,.,.,.,.,.,NA,.,BELL,'014,0,NA,45,76,66,92,92.9,70,66
014907,ROGERS ISD,2019,1994255,5633221,466624,589984,403946,60000,0,9148030,9148030,Traditional ISD/CSD,811.808,12,BELL COUNTY,5,12,273,14,561,4,0,869,A,90,A,90,A,90,B,89,N,N,N,N,N,645,74.400000000000006,867,448,51.7,42,4.8,71,8.2,0,0,0,0,0,0,.,.,.,.,.,NA,.,BELL,'014,0,NA,53,84,64,91,100,100,74
014908,SALADO ISD,2019,8752761,6265804,1164040,1632747,37391,0,0,17852743,17852743,Traditional ISD/CSD,"1,843.405",12,BELL COUNTY,12,26,428,75,1401,5,2,1949,B,89,A,91,B,80,B,84,N,N,N,N,N,1500,77,1948,535,27.5,98,5,129,6.6,0,0,0,0,137,7,.,.,.,.,.,NA,.,BELL,'014,0,NA,55,86,68,92,100,100,70
014909,TEMPLE ISD,2019,34747595,38112406,12492057,11264731,213826,12826,130550,96843441,96973991,Traditional ISD/CSD,"7,877.314",12,BELL COUNTY,137,2338,3934,322,1978,22,21,8752,B,81,C,76,B,85,C,73,N,N,N,N,N,6224,71.599999999999994,8698,6261,72,1055,12.1,1025,11.8,0,0,0,0,0,0,.,.,.,.,.,NA,.,BELL,'014,0,NA,41,71,57,86,91,65,66
014910,TROY ISD,2019,3661721,8648947,877018,927125,474277,0,0,14589088,14589088,Traditional ISD/CSD,"1,448.900",12,BELL COUNTY,4,28,423,52,1030,5,0,1542,A,92,A,91,A,92,A,93,N,N,N,N,N,1170,76,1539,788,51.2,56,3.6,201,13.1,0,0,0,0,0,0,.,.,.,.,.,NA,.,BELL,'014,0,NA,52,83,81,95,100,100,73
015801,POR VIDA ACADEMY,2019,0,2338994,2632275,0,0,0,0,4971269,4971269,Open Enrollment Charter,199.816,20,BEXAR COUNTY,0,4,216,2,7,0,0,229,D,66,C,79,F,59,F,30,Y,Y,N,N,N,228,100,228,196,86,5,2.2,23,10.1,0,0,0,0,0,0,2,68,2,35,0,NA,.,BEXAR,'015,NA,NA,24,74,30,91,55.7,65,41
015802,GEORGE GERVIN ACADEMY,2019,0,9103752,198217,0,0,0,0,9301969,9301969,Open Enrollment Charter,804.814,20,BEXAR COUNTY,3,424,554,21,47,5,0,1054,Data Integrity Issues,91,B,88,A,94,B,85,N,Y,N,N,N,410,38.9,1054,1054,100,187,17.7,73,6.9,0,0,0,0,0,0,.,.,.,.,.,NA,.,BEXAR,'015,NA,2,39,69,100,100,100,100,72
015805,NEW FRONTIERS PUBLIC SCHOOLS INC,2019,0,5644208,96602,0,0,0,0,5740810,5740810,Open Enrollment Charter,573.603,20,BEXAR COUNTY,1,24,607,5,25,0,1,663,B,89,B,85,A,93,C,78,N,Y,N,N,N,497,75,663,586,88.4,73,11,38,5.7,192,29,0,0,0,0,.,.,.,.,.,NA,.,BEXAR,'015,0,NA,36,62,100,100,100,100,69
015806,SCHOOL OF EXCELLENCE IN EDUCATION,2019,0,5990362,146097,0,0,0,0,6136459,6136459,Open Enrollment Charter,556.545,20,BEXAR COUNTY,6,177,433,16,15,0,2,649,B,80,C,78,B,82,C,76,N,Y,N,N,N,382,58.9,649,599,92.3,123,19,52,8,0,0,0,0,186,28.7,.,.,.,.,.,NA,.,BEXAR,'015,0,NA,37,65,53,80,100,100,67
015807,SOUTHWEST PREPARATORY SCHOOL,2019,0,8870946,2653044,0,0,0,0,11523990,11523990,Open Enrollment Charter,857.902,20,BEXAR COUNTY,1,129,644,36,170,2,1,983,D,63,D,64,D,60,D,62,N,Y,N,N,N,674,68.599999999999994,983,812,82.6,105,10.7,107,10.9,162,16.5,0,0,0,0,.,.,.,.,.,NA,.,BEXAR,'015,0,NA,29,55,30,61,96.4,90,60
